ID,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,Salary
988334,m,15-05-1990,57,cbse,2018,64.5,cbse,6624,2,B.Tech/B.E.,computer science & engineering,65,6624,0,Uttar Pradesh,2022,110000
301647,m,21-08-1989,77.33,"maharashtra state board,pune",2007,85.17,amravati divisional board,9084,2,B.Tech/B.E.,electronics & telecommunications,61.94,9084,0,Maharashtra,2019,255000
582313,m,04-05-1991,84.3,cbse,2014,86,cbse,8195,1,B.Tech/B.E.,computer science & engineering,80.4,8195,1,Delhi,2021,420000
339001,f,30-10-1990,82,cbse,2008,75,cbse,4889,2,B.Tech/B.E.,biotechnology,64.3,4889,1,Tamil Nadu,2020,200000
1081649,f,17-04-1989,72.5,state board,2007,53.2,state board,14381,2,B.Tech/B.E.,mechanical engineering,68,14381,1,West Bengal,2021,150000
610842,f,11-04-1991,77,state board,2014,88,state board,13208,2,B.Tech/B.E.,computer science & engineering,71,13208,1,Telangana,2021,105000
1183070,m,25-11-1992,76.8,state board,2018,87.7,state board,5338,2,B.Tech/B.E.,information technology,73.15,5338,0,Andhra Pradesh,2022,195000
794062,f,15-03-1993,57,state board,2014,73,state board,8346,2,B.Tech/B.E.,computer science & engineering,70.08,8346,0,Uttar Pradesh,2022,200000
1088206,m,21-06-1990,77,state board,2008,75,state board,13424,2,B.Tech/B.E.,electronics & telecommunications,62,13424,0,Maharashtra,2021,335000
471413,f,24-12-1991,85,delhi board,2014,88,all india board,57,2,B.Tech/B.E.,information technology,85,57,0,Haryana,2021,480000
1088423,f,09-08-1992,90,state board,2014,82.1,state board,2998,2,B.Tech/B.E.,computer science & engineering,85,2998,0,Telangana,2022,550000
407672,m,30-09-1990,84.13,0,2008,77,0,3801,2,B.Tech/B.E.,information technology,75.2,3801,0,Karnataka,2020,405000
205633,m,25-05-1988,81.7,hse,2005,75.8,chse,5508,2,B.Tech/B.E.,computer engineering,78.7,5508,0,Orissa,2019,500000
924541,f,25-02-1992,86,cbse,2018,89,cbse,429,2,B.Tech/B.E.,computer science & engineering,73.9,429,0,Uttar Pradesh,2022,210000
512353,m,25-10-1991,66.15,state board,2014,54,state board,3603,2,B.Tech/B.E.,computer science & engineering,66,3603,0,Maharashtra,2021,400000
1136577,m,22-05-1991,79.29,icse,2014,68.67,cbse,5298,2,B.Tech/B.E.,computer science & engineering,76,5298,0,Tamil Nadu,2021,360000
781327,m,21-11-1987,60,state board,2006,50,state board,11013,2,B.Tech/B.E.,computer science & engineering,69.94,11013,0,Orissa,2021,240000
203323,m,03-11-1986,61,0,2003,59,0,3716,2,B.Tech/B.E.,information technology,63,3716,1,Karnataka,2019,430000
839626,f,10-04-1991,67.06,state board,2008,70.67,state board,13271,2,B.Tech/B.E.,computer engineering,55.5,13271,1,Maharashtra,2020,120000
1169332,f,09-03-1990,67,cbse,2008,61,cbse,16664,2,B.Tech/B.E.,computer science & engineering,75,16664,0,Chhattisgarh,2020,120000
669692,m,04-05-1992,73,state board,2014,71,state board,9699,2,B.Tech/B.E.,information technology,61,9699,1,Rajasthan,2021,600000
48029,m,20-12-1988,86.17,rbse,2006,78.6,cbse,2857,1,B.Tech/B.E.,computer engineering,73.34,2857,1,Rajasthan,2018,500000
1268344,m,10-03-1990,78,icse,2014,75,cbse,7765,2,B.Tech/B.E.,mechanical engineering,73,7765,0,Uttar Pradesh,2022,240000
230553,m,01-05-1992,66.66,u p board,2005,80.4,u p board,64,2,B.Tech/B.E.,information technology,64.29,64,0,Uttar Pradesh,2019,80000
